group,mass,log10.mass,locomotion,dimension,trophic.guild,class,primarymethod
1,2,0,swimming,2D,herbivore,actinopterygii,telemetry
1,5,0.7,swimming,2D,herbivore,actinopterygii,telemetry
1,10,1,swimming,2D,herbivore,actinopterygii,telemetry
1,50,1.7,swimming,2D,herbivore,actinopterygii,telemetry
1,100,2,swimming,2D,herbivore,actinopterygii,telemetry
1,501,2.7,swimming,2D,herbivore,actinopterygii,telemetry
1,1000,3,swimming,2D,herbivore,actinopterygii,telemetry
1,1667,3.7,swimming,2D,herbivore,actinopterygii,telemetry
2,1,0,swimming,2D,carnivore,actinopterygii,telemetry
2,5,0.7,swimming,2D,carnivore,actinopterygii,telemetry
2,10,1,swimming,2D,carnivore,actinopterygii,telemetry
2,50,1.7,swimming,2D,carnivore,actinopterygii,telemetry
2,100,2,swimming,2D,carnivore,actinopterygii,telemetry
2,501,2.7,swimming,2D,carnivore,actinopterygii,telemetry
2,1000,3,swimming,2D,carnivore,actinopterygii,telemetry
2,3250,3.7,swimming,2D,carnivore,actinopterygii,telemetry
3,50,1.7,swimming,3D,herbivore,actinopterygii,telemetry
3,100,2,swimming,3D,herbivore,actinopterygii,telemetry
3,501,2.7,swimming,3D,herbivore,actinopterygii,telemetry
3,1000,3,swimming,3D,herbivore,actinopterygii,telemetry
3,2100,3.7,swimming,3D,herbivore,actinopterygii,telemetry
4,50,1.7,swimming,3D,carnivore,actinopterygii,telemetry
4,100,2,swimming,3D,carnivore,actinopterygii,telemetry
4,501,2.7,swimming,3D,carnivore,actinopterygii,telemetry
4,1000,3,swimming,3D,carnivore,actinopterygii,telemetry
4,2100,3.7,swimming,3D,carnivore,actinopterygii,telemetry
5,5,0.7,crawling,2D,carnivore,reptilia,telemetry
5,10,1,crawling,2D,carnivore,reptilia,telemetry
5,50,1.7,crawling,2D,carnivore,reptilia,telemetry
5,100,2,crawling,2D,carnivore,reptilia,telemetry
5,501,2.7,crawling,2D,carnivore,reptilia,telemetry
5,1200,3,crawling,2D,carnivore,reptilia,telemetry
6,10,1,walking,2D,herbivore,mammalia,telemetry
6,50,1.7,walking,2D,herbivore,mammalia,telemetry
6,100,2,walking,2D,herbivore,mammalia,telemetry
6,501,2.7,walking,2D,herbivore,mammalia,telemetry
6,1000,3,walking,2D,herbivore,mammalia,telemetry
6,5012,3.7,walking,2D,herbivore,mammalia,telemetry
6,10000,4,walking,2D,herbivore,mammalia,telemetry
6,50119,4.7,walking,2D,herbivore,mammalia,telemetry
6,100000,5,walking,2D,herbivore,mammalia,telemetry
6,501187,5.7,walking,2D,herbivore,mammalia,telemetry
6,1000000,6,walking,2D,herbivore,mammalia,telemetry
6,3999447,6,walking,2D,herbivore,mammalia,telemetry
7,5,0.7,walking,2D,carnivore,mammalia,telemetry
7,10,1,walking,2D,carnivore,mammalia,telemetry
7,50,1.7,walking,2D,carnivore,mammalia,telemetry
7,100,2,walking,2D,carnivore,mammalia,telemetry
7,501,2.7,walking,2D,carnivore,mammalia,telemetry
7,1000,3,walking,2D,carnivore,mammalia,telemetry
7,5012,3.7,walking,2D,carnivore,mammalia,telemetry
7,10000,4,walking,2D,carnivore,mammalia,telemetry
7,50119,4.7,walking,2D,carnivore,mammalia,telemetry
7,111943,5,walking,2D,carnivore,mammalia,telemetry
8,50,1.7,flying,3D,herbivore,aves,telemetry
8,100,2,flying,3D,herbivore,aves,telemetry
8,501,2.7,flying,3D,herbivore,aves,telemetry
8,1000,3,flying,3D,herbivore,aves,telemetry
8,1548,3.7,flying,3D,herbivore,aves,telemetry
9,5,0.7,flying,3D,carnivore,aves,telemetry
9,10,1,flying,3D,carnivore,aves,telemetry
9,50,1.7,flying,3D,carnivore,aves,telemetry
9,100,2,flying,3D,carnivore,aves,telemetry
9,501,2.7,flying,3D,carnivore,aves,telemetry
9,1000,3,flying,3D,carnivore,aves,telemetry
9,3000,3.7,flying,3D,carnivore,aves,telemetry
